No.,Title,Original release date,English release date
"After Uraraka loses her match against Bakugo, Izuku faces Todoroki and tries convincing him to use his Quirk to its full potential. This causes Todoroki to remember how his father Endeavor married his mother Rei to produce a child with both of their Quirks, Endeavor's obsession with usurping All Might's position as the number-one hero putting a strain on their family that resulted in Rei being sent to a mental institution. The memory of Rei encouraging him to use his father's power convinces Todoroki to fight at his full potential, defeating Izuku and later Iida before ultimately losing to Bakugo in the final round. The sports festival concludes with Bakugo making an insulting victory speech towards the other students, declaring that he is better than all of them. Meanwhile in Tokyo, Iida's older brother Ingenium is attacked and maimed by the Hero Killer: Stain, who is later approached by Kurogiri.","After Uraraka loses her match against Bakugo, Izuku faces Todoroki and tries convincing him to use his Quirk to its full potential. This causes Todoroki to remember how his father Endeavor married his mother Rei to produce a child with both of their Quirks, Endeavor's obsession with usurping All Might's position as the number-one hero putting a strain on their family that resulted in Rei being sent to a mental institution. The memory of Rei encouraging him to use his father's power convinces Todoroki to fight at his full potential, defeating Izuku and later Iida before ultimately losing to Bakugo in the final round. The sports festival concludes with Bakugo making an insulting victory speech towards the other students, declaring that he is better than all of them. Meanwhile in Tokyo, Iida's older brother Ingenium is attacked and maimed by the Hero Killer: Stain, who is later approached by Kurogiri.","After Uraraka loses her match against Bakugo, Izuku faces Todoroki and tries convincing him to use his Quirk to its full potential. This causes Todoroki to remember how his father Endeavor married his mother Rei to produce a child with both of their Quirks, Endeavor's obsession with usurping All Might's position as the number-one hero putting a strain on their family that resulted in Rei being sent to a mental institution. The memory of Rei encouraging him to use his father's power convinces Todoroki to fight at his full potential, defeating Izuku and later Iida before ultimately losing to Bakugo in the final round. The sports festival concludes with Bakugo making an insulting victory speech towards the other students, declaring that he is better than all of them. Meanwhile in Tokyo, Iida's older brother Ingenium is attacked and maimed by the Hero Killer: Stain, who is later approached by Kurogiri.","After Uraraka loses her match against Bakugo, Izuku faces Todoroki and tries convincing him to use his Quirk to its full potential. This causes Todoroki to remember how his father Endeavor married his mother Rei to produce a child with both of their Quirks, Endeavor's obsession with usurping All Might's position as the number-one hero putting a strain on their family that resulted in Rei being sent to a mental institution. The memory of Rei encouraging him to use his father's power convinces Todoroki to fight at his full potential, defeating Izuku and later Iida before ultimately losing to Bakugo in the final round. The sports festival concludes with Bakugo making an insulting victory speech towards the other students, declaring that he is better than all of them. Meanwhile in Tokyo, Iida's older brother Ingenium is attacked and maimed by the Hero Killer: Stain, who is later approached by Kurogiri."
6,StrugglingUgomeku (蠢く),"November 4, 2015[26] 978-4-08-880488-0","November 1, 2016[27]978-1-4215-8866-7"
"""Time to Pick Some Names"" (名前をつけてみようの会, Namae o Tsukete Miyou no Kai)""Bizarre! Gran Torino Appears"" (怪奇！グラントリノ現る, Kaiki! Gurantorino Arawaru)""Struggling"" (蠢く, Ugomeku)""Getting the Knack"" (掴めコツ, Tsukame Kotsu)""Midoriya and Shigaraki"" (緑谷と死柄木, Midoriya to Shigaraki)""Kill 'em Dead"" (ぶっ殺す, Bukkorosu)""No, Knock it Off, Ida"" (だめだやめとけ飯田くん, Dameda Yametoke Īda-kun)""Hero Killer Stain Vs. U.A. Students"" (ヒーロー殺しステインVS雄英生徒, Hīrō-goroshi Sutein VS Yū Ei Seito)""From Todoroki to Ida"" (轟から飯田へ, Todoroki kara Īda e)","""Time to Pick Some Names"" (名前をつけてみようの会, Namae o Tsukete Miyou no Kai)""Bizarre! Gran Torino Appears"" (怪奇！グラントリノ現る, Kaiki! Gurantorino Arawaru)""Struggling"" (蠢く, Ugomeku)""Getting the Knack"" (掴めコツ, Tsukame Kotsu)""Midoriya and Shigaraki"" (緑谷と死柄木, Midoriya to Shigaraki)""Kill 'em Dead"" (ぶっ殺す, Bukkorosu)""No, Knock it Off, Ida"" (だめだやめとけ飯田くん, Dameda Yametoke Īda-kun)""Hero Killer Stain Vs. U.A. Students"" (ヒーロー殺しステインVS雄英生徒, Hīrō-goroshi Sutein VS Yū Ei Seito)""From Todoroki to Ida"" (轟から飯田へ, Todoroki kara Īda e)","""Time to Pick Some Names"" (名前をつけてみようの会, Namae o Tsukete Miyou no Kai)""Bizarre! Gran Torino Appears"" (怪奇！グラントリノ現る, Kaiki! Gurantorino Arawaru)""Struggling"" (蠢く, Ugomeku)""Getting the Knack"" (掴めコツ, Tsukame Kotsu)""Midoriya and Shigaraki"" (緑谷と死柄木, Midoriya to Shigaraki)""Kill 'em Dead"" (ぶっ殺す, Bukkorosu)""No, Knock it Off, Ida"" (だめだやめとけ飯田くん, Dameda Yametoke Īda-kun)""Hero Killer Stain Vs. U.A. Students"" (ヒーロー殺しステインVS雄英生徒, Hīrō-goroshi Sutein VS Yū Ei Seito)""From Todoroki to Ida"" (轟から飯田へ, Todoroki kara Īda e)","""Time to Pick Some Names"" (名前をつけてみようの会, Namae o Tsukete Miyou no Kai)""Bizarre! Gran Torino Appears"" (怪奇！グラントリノ現る, Kaiki! Gurantorino Arawaru)""Struggling"" (蠢く, Ugomeku)""Getting the Knack"" (掴めコツ, Tsukame Kotsu)""Midoriya and Shigaraki"" (緑谷と死柄木, Midoriya to Shigaraki)""Kill 'em Dead"" (ぶっ殺す, Bukkorosu)""No, Knock it Off, Ida"" (だめだやめとけ飯田くん, Dameda Yametoke Īda-kun)""Hero Killer Stain Vs. U.A. Students"" (ヒーロー殺しステインVS雄英生徒, Hīrō-goroshi Sutein VS Yū Ei Seito)""From Todoroki to Ida"" (轟から飯田へ, Todoroki kara Īda e)"
,,,
"""Time to Pick Some Names"" (名前をつけてみようの会, Namae o Tsukete Miyou no Kai)""Bizarre! Gran Torino Appears"" (怪奇！グラントリノ現る, Kaiki! Gurantorino Arawaru)""Struggling"" (蠢く, Ugomeku)""Getting the Knack"" (掴めコツ, Tsukame Kotsu)""Midoriya and Shigaraki"" (緑谷と死柄木, Midoriya to Shigaraki)""Kill 'em Dead"" (ぶっ殺す, Bukkorosu)""No, Knock it Off, Ida"" (だめだやめとけ飯田くん, Dameda Yametoke Īda-kun)""Hero Killer Stain Vs. U.A. Students"" (ヒーロー殺しステインVS雄英生徒, Hīrō-goroshi Sutein VS Yū Ei Seito)""From Todoroki to Ida"" (轟から飯田へ, Todoroki kara Īda e)",,,
"In the aftermath of the sports festival, the Class 1-A students are told to begin considering hero names while beginning their one-week internships at a hero agency. As Iida picks an agency in Hosu City to track down Stain in secret, Izuku begins his internship under All Might's mentor Gran Torino, who helps him understand more about safely channeling One For All. As All Might learns more about the captured Nomu, Shigaraki releases three more Nomus in Hosu City as Stain resumes his hunt for ""fake heroes"". Izuku, after he and Gran Torino are attacked by a Nomu on their way to Shibuya City, runs off to find Iida while sending a text to Todoroki. The two arrive as the revenge-driven Iida is immobilized by Stain's ""Bloodcurdle"" Quirk.","In the aftermath of the sports festival, the Class 1-A students are told to begin considering hero names while beginning their one-week internships at a hero agency. As Iida picks an agency in Hosu City to track down Stain in secret, Izuku begins his internship under All Might's mentor Gran Torino, who helps him understand more about safely channeling One For All. As All Might learns more about the captured Nomu, Shigaraki releases three more Nomus in Hosu City as Stain resumes his hunt for ""fake heroes"". Izuku, after he and Gran Torino are attacked by a Nomu on their way to Shibuya City, runs off to find Iida while sending a text to Todoroki. The two arrive as the revenge-driven Iida is immobilized by Stain's ""Bloodcurdle"" Quirk.","In the aftermath of the sports festival, the Class 1-A students are told to begin considering hero names while beginning their one-week internships at a hero agency. As Iida picks an agency in Hosu City to track down Stain in secret, Izuku begins his internship under All Might's mentor Gran Torino, who helps him understand more about safely channeling One For All. As All Might learns more about the captured Nomu, Shigaraki releases three more Nomus in Hosu City as Stain resumes his hunt for ""fake heroes"". Izuku, after he and Gran Torino are attacked by a Nomu on their way to Shibuya City, runs off to find Iida while sending a text to Todoroki. The two arrive as the revenge-driven Iida is immobilized by Stain's ""Bloodcurdle"" Quirk.","In the aftermath of the sports festival, the Class 1-A students are told to begin considering hero names while beginning their one-week internships at a hero agency. As Iida picks an agency in Hosu City to track down Stain in secret, Izuku begins his internship under All Might's mentor Gran Torino, who helps him understand more about safely channeling One For All. As All Might learns more about the captured Nomu, Shigaraki releases three more Nomus in Hosu City as Stain resumes his hunt for ""fake heroes"". Izuku, after he and Gran Torino are attacked by a Nomu on their way to Shibuya City, runs off to find Iida while sending a text to Todoroki. The two arrive as the revenge-driven Iida is immobilized by Stain's ""Bloodcurdle"" Quirk."
7,Katsuki Bakugo: OriginBakugō Katsuki: Origin (爆豪勝己：オリジン),"February 4, 2016[28] 978-4-08-880607-5","February 7, 2017[29]978-1-4215-9040-0"
"""Re-Ingenium"" (Reインゲニウム, Ri-Ingeniumu)""Conclusion?!"" (終局？, Shūkyoku?)""Conclusion"" (終局, Kecchaku)""The Aftermath of Hero Killer Stain"" (「ヒーロー殺しステイン」その余波, ""Hīrō-goroshi Sutein""—Sono Yoha)""Internship's End"" (職場体験を終えて, Shokuba Taiken wo Oete)""Listen Up!! A Tale from the Past"" (知れ!!昔の話, Shire!! Mukashi no Hanashi)""Gear Up For Final Exams"" (備えろ期末テスト, Sonaero Kimatsu Tesuto)""The Worst Combo"" (最悪のふたり, Saiaku no Futari)""Katsuki Bakugo: Origin"" (爆豪勝己：オリジン, Bakugō Katsuki: Origin)","""Re-Ingenium"" (Reインゲニウム, Ri-Ingeniumu)""Conclusion?!"" (終局？, Shūkyoku?)""Conclusion"" (終局, Kecchaku)""The Aftermath of Hero Killer Stain"" (「ヒーロー殺しステイン」その余波, ""Hīrō-goroshi Sutein""—Sono Yoha)""Internship's End"" (職場体験を終えて, Shokuba Taiken wo Oete)""Listen Up!! A Tale from the Past"" (知れ!!昔の話, Shire!! Mukashi no Hanashi)""Gear Up For Final Exams"" (備えろ期末テスト, Sonaero Kimatsu Tesuto)""The Worst Combo"" (最悪のふたり, Saiaku no Futari)""Katsuki Bakugo: Origin"" (爆豪勝己：オリジン, Bakugō Katsuki: Origin)","""Re-Ingenium"" (Reインゲニウム, Ri-Ingeniumu)""Conclusion?!"" (終局？, Shūkyoku?)""Conclusion"" (終局, Kecchaku)""The Aftermath of Hero Killer Stain"" (「ヒーロー殺しステイン」その余波, ""Hīrō-goroshi Sutein""—Sono Yoha)""Internship's End"" (職場体験を終えて, Shokuba Taiken wo Oete)""Listen Up!! A Tale from the Past"" (知れ!!昔の話, Shire!! Mukashi no Hanashi)""Gear Up For Final Exams"" (備えろ期末テスト, Sonaero Kimatsu Tesuto)""The Worst Combo"" (最悪のふたり, Saiaku no Futari)""Katsuki Bakugo: Origin"" (爆豪勝己：オリジン, Bakugō Katsuki: Origin)","""Re-Ingenium"" (Reインゲニウム, Ri-Ingeniumu)""Conclusion?!"" (終局？, Shūkyoku?)""Conclusion"" (終局, Kecchaku)""The Aftermath of Hero Killer Stain"" (「ヒーロー殺しステイン」その余波, ""Hīrō-goroshi Sutein""—Sono Yoha)""Internship's End"" (職場体験を終えて, Shokuba Taiken wo Oete)""Listen Up!! A Tale from the Past"" (知れ!!昔の話, Shire!! Mukashi no Hanashi)""Gear Up For Final Exams"" (備えろ期末テスト, Sonaero Kimatsu Tesuto)""The Worst Combo"" (最悪のふたり, Saiaku no Futari)""Katsuki Bakugo: Origin"" (爆豪勝己：オリジン, Bakugō Katsuki: Origin)"
,,,
"""Re-Ingenium"" (Reインゲニウム, Ri-Ingeniumu)""Conclusion?!"" (終局？, Shūkyoku?)""Conclusion"" (終局, Kecchaku)""The Aftermath of Hero Killer Stain"" (「ヒーロー殺しステイン」その余波, ""Hīrō-goroshi Sutein""—Sono Yoha)""Internship's End"" (職場体験を終えて, Shokuba Taiken wo Oete)""Listen Up!! A Tale from the Past"" (知れ!!昔の話, Shire!! Mukashi no Hanashi)""Gear Up For Final Exams"" (備えろ期末テスト, Sonaero Kimatsu Tesuto)""The Worst Combo"" (最悪のふたり, Saiaku no Futari)""Katsuki Bakugo: Origin"" (爆豪勝己：オリジン, Bakugō Katsuki: Origin)",,,
"Endeavor and Gran Torino take out most of the Nomus while Iida joins Izuku and Todoroki in defeating Stain, Stain remaining conscious enough to save Izuku from a winged Nomu for being an ""ideal hero"" while expressing his views on society's ""fake heroes"". Stain is placed in solitary confinement, with the credit of his capture going to Endeavor so his son and friends will not be arrested for using their Quirks without permission. The video of Stain's rant soon goes viral, with the League of Villains exploiting Stain's reputation to recruit new members. Following the internships, All Might decides to tell Izuku the truth behind One For All and the identity of the mastermind behind the League of Villains: All For One, the villain who gravely wounded All Might and has the ability to steal Quirks. Soon after, Class 1-A begins their final exams where they must defeat or escape their teachers to pass.","Endeavor and Gran Torino take out most of the Nomus while Iida joins Izuku and Todoroki in defeating Stain, Stain remaining conscious enough to save Izuku from a winged Nomu for being an ""ideal hero"" while expressing his views on society's ""fake heroes"". Stain is placed in solitary confinement, with the credit of his capture going to Endeavor so his son and friends will not be arrested for using their Quirks without permission. The video of Stain's rant soon goes viral, with the League of Villains exploiting Stain's reputation to recruit new members. Following the internships, All Might decides to tell Izuku the truth behind One For All and the identity of the mastermind behind the League of Villains: All For One, the villain who gravely wounded All Might and has the ability to steal Quirks. Soon after, Class 1-A begins their final exams where they must defeat or escape their teachers to pass.","Endeavor and Gran Torino take out most of the Nomus while Iida joins Izuku and Todoroki in defeating Stain, Stain remaining conscious enough to save Izuku from a winged Nomu for being an ""ideal hero"" while expressing his views on society's ""fake heroes"". Stain is placed in solitary confinement, with the credit of his capture going to Endeavor so his son and friends will not be arrested for using their Quirks without permission. The video of Stain's rant soon goes viral, with the League of Villains exploiting Stain's reputation to recruit new members. Following the internships, All Might decides to tell Izuku the truth behind One For All and the identity of the mastermind behind the League of Villains: All For One, the villain who gravely wounded All Might and has the ability to steal Quirks. Soon after, Class 1-A begins their final exams where they must defeat or escape their teachers to pass.","Endeavor and Gran Torino take out most of the Nomus while Iida joins Izuku and Todoroki in defeating Stain, Stain remaining conscious enough to save Izuku from a winged Nomu for being an ""ideal hero"" while expressing his views on society's ""fake heroes"". Stain is placed in solitary confinement, with the credit of his capture going to Endeavor so his son and friends will not be arrested for using their Quirks without permission. The video of Stain's rant soon goes viral, with the League of Villains exploiting Stain's reputation to recruit new members. Following the internships, All Might decides to tell Izuku the truth behind One For All and the identity of the mastermind behind the League of Villains: All For One, the villain who gravely wounded All Might and has the ability to steal Quirks. Soon after, Class 1-A begins their final exams where they must defeat or escape their teachers to pass."
